dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
20newsgroups,128,2560,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.40501893 0.4013739  0.40487873 0.40473854 0.4033366 ],0.404 ± 0.001,0.40386933968877053,0.40473853918407404,0.0013861440733838202,0.40333660451422965,0.4048787326510585,[0.42969563 0.43042427 0.43007711 0.432133   0.42937238],0.430 ± 0.001,0.4303404800536173,0.4300771077590603,0.000963594419141861,0.4296956316648561,0.43042427243963666,[0.01876365 0.01707027 0.02380462 0.02128331 0.02239437],0.021 ± 0.002,0.020663245357014526,0.02128330917424689,0.0024399761194040357,0.018763650265300393,0.022394371221477506
20newsgroups,128,2560,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.54913781 0.54913781 0.54913781 0.54913781 0.54913781],0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,[0.84066408 0.84066408 0.84066408 0.84066408 0.84066408],0.841 ± 0.000,0.8406640839865143,0.8406640839865143,0.0,0.8406640839865143,0.8406640839865143,[0.25586362 0.25586362 0.25586362 0.25586362 0.25586362],0.256 ± 0.000,0.25586362123941303,0.25586362123941303,0.0,0.25586362123941303,0.25586362123941303
20newsgroups,128,2560,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.40473854 0.40235525 0.40571989 0.40459835 0.40249544],0.404 ± 0.001,0.4039814944623581,0.4045983457170896,0.001328809265226159,0.40249544371232304,0.40473853918407404,[0.44789514 0.44811921 0.4484795  0.45078162 0.44728408],0.449 ± 0.001,0.44851190879863195,0.44811920969219404,0.0011995702716894045,0.44789513908049927,0.44847949569552414,[0.07856065 0.0759886  0.08131869 0.08433343 0.07763479],0.080 ± 0.003,0.07956723269645087,0.07856065339001335,0.002944093121323256,0.07763478958796015,0.08131869347501842
20newsgroups,128,2560,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.54913781 0.54913781 0.54913781 0.54913781 0.54913781],0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,[0.6340813  0.63436287 0.63473726 0.63443855 0.63471528],0.634 ± 0.000,0.6344670505803974,0.6344385481536081,0.0002429419116495655,0.6343628701543965,0.6347152826837338,[0.04616936 0.04014441 0.03479498 0.03924579 0.03538167],0.039 ± 0.004,0.03914723942513035,0.039245786402054776,0.004084993824512914,0.035381671874522756,0.040144405439699805
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.34912281 0.32070175 0.3222807  0.32877193 0.3345614 ],0.331 ± 0.010,0.33108771929824565,0.32877192982456144,0.010277408010784092,0.322280701754386,0.3345614035087719,[0.4614773  0.44485394 0.4401006  0.43844962 0.55076482],0.467 ± 0.043,0.4671292562079918,0.4448539364724779,0.04260542513544772,0.44010060193741796,0.46147730204205156,[0.0155792  0.0321142  0.02904139 0.03057734 0.0942915 ],0.040 ± 0.028,0.04032072433295466,0.030577338150621587,0.02762061255437188,0.029041385229946554,0.03211419943687827
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.35263158 0.35263158 0.35263158 0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.75899966 0.75899966 0.75899966 0.75899966 0.75899966],0.759 ± 0.000,0.7589996571971926,0.7589996571971926,0.0,0.7589996571971926,0.7589996571971926,[0.12556743 0.12556743 0.12556743 0.12556743 0.12556743],0.126 ± 0.000,0.1255674335736068,0.1255674335736068,0.0,0.1255674335736068,0.1255674335736068
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.34912281 0.32087719 0.32298246 0.32842105 0.33789474],0.332 ± 0.010,0.331859649122807,0.32842105263157895,0.010446834431828846,0.32298245614035087,0.33789473684210525,[0.46144611 0.4444982  0.44022524 0.43805168 0.52974525],0.463 ± 0.034,0.46279329677274195,0.444498200303047,0.034468984545966364,0.44022523633911936,0.46144611074228276,[0.01605552 0.03658544 0.01994875 0.02016803 0.05898554],0.030 ± 0.016,0.030348657063039852,0.020168034084336282,0.015969130049245956,0.019948746043172073,0.03658544159583322
agnews,16,64,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.35263158 0.35263158 0.35263158 0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.63755788 0.6292864  0.62988734 0.63278377 0.68415708],0.643 ± 0.021,0.6427344956976331,0.6327837724877801,0.020916718250985015,0.629887336446097,0.6375578827415465,[0.13238556 0.10682546 0.1075765  0.10360857 0.11107835],0.112 ± 0.010,0.11229488847852327,0.10757650191958572,0.010322256684442022,0.10682545589385994,0.11107835285874346
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,[0.26401869 0.17523364 0.17757009 0.17757009 0.17990654],0.195 ± 0.035,0.19485981308411215,0.17757009345794394,0.03461099848063777,0.17757009345794394,0.17990654205607476,[0.49049515 0.33061215 0.6404911  0.57521273 0.38431329],0.484 ± 0.115,0.48422488398040375,0.4904951483531491,0.11516634342543532,0.3843132869126925,0.5752127326251848,[0.05207697 0.03760442 0.07406064 0.06281338 0.04048477],0.053 ± 0.014,0.053408035345576164,0.05207697125268066,0.013664023000454715,0.040484767143989485,0.06281338212535548
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.26401869 0.15420561 0.21028037 0.16121495 0.16588785],0.191 ± 0.041,0.19112149532710282,0.1658878504672897,0.041412521572157995,0.16121495327102803,0.21028037383177572,[0.45063128 0.29784611 0.38672338 0.31811341 0.3026239 ],0.351 ± 0.059,0.35118761539632215,0.31811340766464896,0.05907535359019817,0.30262389781228305,0.38672338195149253,[0.03791171 0.00867471 0.0276151  0.03170099 0.02179397],0.026 ± 0.010,0.02553929510053774,0.027615099918027023,0.009937746493782394,0.02179396711677324,0.031700991218261365
