dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3,cal_loss_bias:values,cal_loss_bias,cal_loss_bias:mean,cal_loss_bias:median,cal_loss_bias:std,cal_loss_bias:Q1,cal_loss_bias:Q3,norm_min_calibration_bias:values,norm_min_calibration_bias,norm_min_calibration_bias:mean,norm_min_calibration_bias:median,norm_min_calibration_bias:std,norm_min_calibration_bias:Q1,norm_min_calibration_bias:Q3
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.14719626 0.17523364 0.14719626 0.20093458 0.12850467],0.160 ± 0.025,0.1598130841121495,0.14719626168224298,0.02540612564311812,0.14719626168224298,0.17523364485981308,[0.27874087 0.30761095 0.28078676 0.35226286 0.2814848 ],0.300 ± 0.028,0.3001772494925474,0.2814848011558227,0.028117922627974863,0.2807867569216263,0.30761095339572364,[0.01366162 0.01824632 0.02022174 0.02701346 0.02253727],0.020 ± 0.004,0.02033608353214029,0.020221743331644768,0.004435342291891595,0.01824631504545328,0.022537273940269338,[-0.17142835  1.1531265  -0.15885289 10.365901    7.8011565 ],3.798 ± 4.417,3.7979805,1.1531265,4.4174876,-0.15885289013385773,7.801156520843506,[0.27921662 0.30406156 0.2812307  0.31574526 0.2595238 ],0.288 ± 0.020,0.28795558,0.2812307,0.019807214,0.27921661734580994,0.30406156182289124
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.14719626 0.17523364 0.18691589 0.22663551 0.12616822],0.172 ± 0.034,0.1724299065420561,0.17523364485981308,0.034446574755106756,0.14719626168224298,0.1869158878504673,[0.30221383 0.30624441 0.34882902 0.40934643 0.28392184],0.330 ± 0.045,0.3301111056366324,0.30624441317379586,0.04496648277857675,0.3022138296062077,0.3488290169789936,[0.03090091 0.00891629 0.03913274 0.04777098 0.03127516],0.032 ± 0.013,0.03159921596241774,0.03127515833944402,0.012910364177712306,0.030900913685143083,0.039132735579666754,[ 7.6087794  0.7120747 19.378391  22.865303   8.59254  ],11.831 ± 8.132,11.831418,8.59254,8.132211,7.608779430389404,19.37839126586914,[0.27921697 0.30406147 0.2812295  0.31574577 0.2595238 ],0.288 ± 0.020,0.28795552,0.2812295,0.01980739,0.2792169749736786,0.3040614724159241
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.32242991 0.31775701 0.32242991 0.3317757  0.3364486 ],0.326 ± 0.007,0.32616822429906545,0.32242990654205606,0.006867728250793961,0.32242990654205606,0.3317757009345794,[0.53015524 0.51482006 0.52589978 0.5430446  0.54779819],0.532 ± 0.012,0.5323435743075275,0.5301552427156802,0.011889003423807786,0.525899783365028,0.5430446039497681,[0.03937853 0.01876166 0.02214154 0.040959   0.03740723],0.032 ± 0.009,0.03172959133093139,0.03740723055323487,0.009338326278430259,0.022141539834838117,0.039378526308814804,[4.428859  1.9220341 3.6554801 7.0196757 7.826572 ],4.971 ± 2.176,4.9705243,4.428859,2.1758707,3.655480146408081,7.0196757316589355,[0.5066716  0.50492126 0.5066717  0.50492084 0.50492066],0.506 ± 0.001,0.5056212,0.50492126,0.00085768756,0.5049208402633667,0.5066716074943542
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,[0.32242991 0.31775701 0.32242991 0.3317757  0.3364486 ],0.326 ± 0.007,0.32616822429906545,0.32242990654205606,0.006867728250793961,0.32242990654205606,0.3317757009345794,[0.53024768 0.51481799 0.53238757 0.54306668 0.54774922],0.534 ± 0.011,0.533653826842122,0.5323875681029183,0.01144793464405617,0.5302476791206956,0.5430666762418941,[0.03944227 0.01875506 0.04396571 0.04096941 0.03738341],0.036 ± 0.009,0.03610317088102816,0.03944226611244983,0.008935830975432388,0.03738341128849045,0.04096941251219915,[4.445516  1.9216411 4.8298097 7.023422  7.818321 ],5.208 ± 2.080,5.2077417,4.8298097,2.0801008,4.445516109466553,7.023421764373779,[0.50667167 0.50492126 0.50667053 0.504921   0.50492066],0.506 ± 0.001,0.505621,0.50492126,0.00085738103,0.504921019077301,0.5066705346107483
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.31775701 0.31775701 0.31775701 0.31775701 0.31775701],0.318 ± 0.000,0.31775700934579443,0.31775700934579443,0.0,0.31775700934579443,0.31775700934579443,[0.68321071 0.68246029 0.68321071 0.68246029 0.68246029],0.683 ± 0.000,0.6827604532693797,0.6824602852244503,0.0003676292735829293,0.6824602852244503,0.6832107053367739,[0.17495928 0.17700146 0.17495928 0.17700146 0.17700146],0.176 ± 0.001,0.17618459102109169,0.17700146444396994,0.0010004615352462028,0.17495928088677437,0.17700146444396994,[25.839079 26.01392  25.839079 26.01392  26.01392 ],25.944 ± 0.086,25.943981,26.01392,0.085654214,25.839078903198242,26.013919830322266,[0.50667155 0.50492185 0.50667155 0.50492185 0.50492185],0.506 ± 0.001,0.50562173,0.50492185,0.00085717166,0.5049218535423279,0.5066715478897095
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,[0.30140187 0.31775701 0.30607477 0.30373832 0.31542056],0.309 ± 0.007,0.3088785046728971,0.30607476635514014,0.006508592652889782,0.3037383177570093,0.3154205607476635,[0.68259116 0.6821813  0.68238872 0.68155402 0.68156933],0.682 ± 0.000,0.682056906397773,0.6821813014541552,0.00042464805372896574,0.6815693259672171,0.6823887232623812,[0.19032377 0.18018925 0.18736583 0.18827227 0.18248307],0.186 ± 0.004,0.18572683821264896,0.18736582691481657,0.0037811155022988516,0.18248307137742173,0.18827226666050056,[25.771708 25.983896 25.749847 25.915674 25.917309],25.868 ± 0.091,25.867685,25.915674,0.090959236,25.77170753479004,25.917308807373047,[0.50667197 0.50492024 0.5066709  0.50492096 0.50492114],0.506 ± 0.001,0.5056211,0.50492114,0.000857639,0.5049209594726562,0.5066708922386169
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,[0.31775701 0.31775701 0.31775701 0.31775701 0.31775701],0.318 ± 0.000,0.31775700934579443,0.31775700934579443,0.0,0.31775700934579443,0.31775700934579443,[0.51680053 0.52285737 0.52849251 0.51517859 0.51991889],0.521 ± 0.005,0.5206495784000816,0.519918888766327,0.00472581803875143,0.51680052568196,0.5228573714590868,[0.02614872 0.03676566 0.05099028 0.01488884 0.02787911],0.031 ± 0.012,0.0313345211439868,0.02787911087128258,0.012042747931572432,0.02614872068117892,0.03676565727451096,[1.9593306 3.429583  4.128132  1.9904088 2.8839352],2.878 ± 0.837,2.878278,2.8839352,0.83652616,1.9904087781906128,3.4295830726623535,[0.5066709  0.50492173 0.5066719  0.50492066 0.50492096],0.506 ± 0.001,0.50562125,0.50492173,0.000857459,0.5049209594726562,0.5066708922386169
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.56890509 0.53091266 0.5063788  0.53595962 0.51745409],0.532 ± 0.021,0.5319220524323567,0.5309126594700687,0.021198327739105943,0.5174540866395626,0.5359596242815086,[0.68354465 0.58244067 0.5375594  0.5400833  0.51987536],0.573 ± 0.059,0.5727006728080185,0.5400832962556853,0.05911103153955916,0.5375593958586664,0.5824406689855585,[0.17345483 0.05657601 0.09023537 0.05474626 0.04707201],0.084 ± 0.047,0.08441689574646746,0.056576007760306,0.04692911589132347,0.05474625792892389,0.09023537356674027,[39.526783 27.131445 24.846914 17.189219 22.671253],26.273 ± 7.402,26.273123,24.846914,7.401636,22.671253204345703,27.131444931030273,[0.41336042 0.42441508 0.40399146 0.44724613 0.4020121 ],0.418 ± 0.017,0.41820502,0.41336042,0.016550872,0.4039914608001709,0.42441508173942566
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.61629048 0.54338988 0.53918407 0.57030702 0.52474415],0.559 ± 0.032,0.5587831207065751,0.5433898780316838,0.03230982234400059,0.5391840740221505,0.5703070236926959,[0.9728483  0.78688041 0.69795795 0.86215047 0.65539673],0.795 ± 0.114,0.7950467722393427,0.7868804104622587,0.11411516571150601,0.6979579458109867,0.8621504732655318,[0.34825999 0.2180155  0.21973945 0.26886575 0.17736966],0.246 ± 0.059,0.24645007145709624,0.21973945074340276,0.05858635846182811,0.21801550343990056,0.26886575050536976,[57.510178 46.063454 42.117924 48.12422  38.66111 ],46.495 ± 6.398,46.49538,46.063454,6.39849,42.117923736572266,48.12422180175781,[0.4133605  0.42441508 0.40399155 0.44724616 0.40201208],0.418 ± 0.017,0.41820508,0.4133605,0.016550869,0.40399155020713806,0.42441508173942566
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.50063087 0.44595542 0.49193888 0.4526847  0.46095612],0.470 ± 0.022,0.4704331978129819,0.4609561194448339,0.021809994578315745,0.452684704892752,0.4919388756483948,[0.51122485 0.47728779 0.52551545 0.47551528 0.48686435],0.495 ± 0.020,0.49528154596948415,0.4868643545674118,0.01976667626903727,0.47728779037501773,0.5112248497671658,[0.04847486 0.03334423 0.0685935  0.03038985 0.06517637],0.049 ± 0.016,0.0491957612109222,0.04847486438915573,0.01572962081818212,0.0333442262433071,0.065176365437115,[14.211343  8.111416 16.573788  7.768912  9.950804],11.323 ± 3.485,11.323253,9.950804,3.4854565,8.11141586303711,14.211342811584473,[0.43857187 0.4385719  0.43841657 0.43857187 0.43841636],0.439 ± 0.000,0.43850976,0.43857187,7.613711e-05,0.43841657042503357,0.43857187032699585
