dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,0.44609561194448344,0.446 ± 0.000,0.44609561194448344,0.44609561194448344,0.0,0.44609561194448344,0.44609561194448344,0.5037547169106912,0.504 ± 0.000,0.5037547169106912,0.5037547169106912,0.0,0.5037547169106912,0.5037547169106912,0.07341962477505617,0.073 ± 0.000,0.07341962477505617,0.07341962477505617,0.0,0.07341962477505617,0.07341962477505617
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,0.5491378101780457,0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,0.8406640839865143,0.841 ± 0.000,0.8406640839865143,0.8406640839865143,0.0,0.8406640839865143,0.8406640839865143,0.25586362123941303,0.256 ± 0.000,0.25586362123941303,0.25586362123941303,0.0,0.25586362123941303,0.25586362123941303
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,0.4496004486190944,0.450 ± 0.000,0.4496004486190944,0.4496004486190944,0.0,0.4496004486190944,0.4496004486190944,0.5549275058304006,0.555 ± 0.000,0.5549275058304006,0.5549275058304006,0.0,0.5549275058304006,0.5549275058304006,0.13088611156189364,0.131 ± 0.000,0.13088611156189364,0.13088611156189364,0.0,0.13088611156189364,0.13088611156189364
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,0.5491378101780457,0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,0.6427296792744384,0.643 ± 0.000,0.6427296792744384,0.6427296792744384,0.0,0.6427296792744384,0.6427296792744384,0.1260254660665941,0.126 ± 0.000,0.1260254660665941,0.1260254660665941,0.0,0.1260254660665941,0.1260254660665941
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,0.26401869158878505,0.264 ± 0.000,0.26401869158878505,0.26401869158878505,0.0,0.26401869158878505,0.26401869158878505,0.4904951483531491,0.490 ± 0.000,0.4904951483531491,0.4904951483531491,0.0,0.4904951483531491,0.4904951483531491,0.05207697125268066,0.052 ± 0.000,0.05207697125268066,0.05207697125268066,0.0,0.05207697125268066,0.05207697125268066
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.26401869 0.15420561],0.209 ± 0.055,0.2091121495327103,0.2091121495327103,0.05490654205607476,0.1816588785046729,0.23656542056074767,[0.45063128 0.29784611],0.374 ± 0.076,0.374238694776593,0.374238694776593,0.0763925843931198,0.3360424025800331,0.4124349869731529,[0.03791171 0.00867471],0.023 ± 0.015,0.02329320862481353,0.02329320862481353,0.014618503199149825,0.01598395702523862,0.030602460224388443
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.23598131 0.14953271],0.193 ± 0.043,0.1927570093457944,0.1927570093457944,0.04322429906542055,0.17114485981308414,0.21436915887850466,[0.45155485 0.2952568 ],0.373 ± 0.078,0.3734058216284213,0.3734058216284213,0.07814902535791957,0.3343313089494615,0.41248033430738107,[0.03374078 0.01923277],0.026 ± 0.007,0.026486775186089266,0.026486775186089266,0.007254003870633283,0.022859773250772625,0.030113777121405907
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.41692771 0.41692771],0.417 ± 0.000,0.416927708017669,0.416927708017669,0.0,0.416927708017669,0.416927708017669,[0.03632632 0.03632632],0.036 ± 0.000,0.03632631566015958,0.03632631566015958,0.0,0.03632631566015958,0.03632631566015958
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.23598131 0.17056075],0.203 ± 0.033,0.20327102803738317,0.20327102803738317,0.03271028037383178,0.18691588785046728,0.21962616822429906,[0.42750164 0.35073728],0.389 ± 0.038,0.38911945915175417,0.38911945915175417,0.038382181613610095,0.3699283683449491,0.4083105499585592,[0.04099648 0.06667112],0.054 ± 0.013,0.05383379968792486,0.05383379968792486,0.012837316929772549,0.04741514122303859,0.060252458152811134
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[1.98846641 0.41079879],1.200 ± 0.789,1.19963259573275,1.19963259573275,0.7888338096455064,0.8052156909099968,1.594049500555503,[0.09302664 0.02291586],0.058 ± 0.035,0.057971253183924515,0.057971253183924515,0.035055391299043906,0.04044355753440257,0.07549894883344646
