dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3,cal_loss_bias:values,cal_loss_bias,cal_loss_bias:mean,cal_loss_bias:median,cal_loss_bias:std,cal_loss_bias:Q1,cal_loss_bias:Q3,norm_min_calibration_bias:values,norm_min_calibration_bias,norm_min_calibration_bias:mean,norm_min_calibration_bias:median,norm_min_calibration_bias:std,norm_min_calibration_bias:Q1,norm_min_calibration_bias:Q3
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,[0.51058461 0.44721716 0.48801346 0.46824618 0.4636198 ],0.476 ± 0.022,0.47553624001121547,0.46824617972802474,0.021822859292309302,0.4636197953175382,0.4880134585728305,[0.52933541 0.49854186 0.53811496 0.50208696 0.49596515],0.513 ± 0.017,0.5128088679544549,0.5020869555325541,0.01741116053127524,0.4985418617706526,0.5293354129619666,[0.11589616 0.06705115 0.1131205  0.07319623 0.0598418 ],0.086 ± 0.024,0.08582116747325799,0.07319622932046754,0.023817593294710816,0.06705114659678608,0.11312049967960636,[17.21973  12.106662 18.59887  12.727224 11.680924],14.467 ± 2.864,14.466682,12.727224,2.863917,12.106661796569824,17.219730377197266,[0.4385719  0.43857187 0.43841642 0.43857187 0.43841648],0.439 ± 0.000,0.4385097,0.43857187,7.614437e-05,0.4384164810180664,0.43857187032699585
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,[0.60479462 0.60479462 0.60409365 0.60479462 0.60409365],0.605 ± 0.000,0.6045142296368989,0.6047946165708677,0.00034340245938354247,0.6040936492359457,0.6047946165708677,[0.67796198 0.67750611 0.67896684 0.67960107 0.67758064],0.678 ± 0.001,0.67832332851284,0.6779619819817644,0.0008242263300522217,0.6775806376415808,0.6789668433464208,[0.03809941 0.0396835  0.03630579 0.04012353 0.06828997],0.045 ± 0.012,0.044500439170168236,0.03968349808578715,0.011970191759492292,0.03809941477470679,0.04012352528465416,[35.367283 35.323803 35.485546 35.523193 35.35356 ],35.411 ± 0.079,35.41068,35.367283,0.07868629,35.35356140136719,35.48554611206055,[0.43857187 0.43857187 0.43841648 0.43857187 0.43841636],0.439 ± 0.000,0.43850964,0.43857187,7.615413e-05,0.4384164810180664,0.43857187032699585
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.41385965 0.19122807 0.34842105 0.24754386 0.21929825],0.284 ± 0.084,0.2840701754385965,0.24754385964912282,0.0838278879881585,0.2192982456140351,0.34842105263157896,[3.28742213 0.30984511 0.48863857 0.36202487 1.22096019],1.134 ± 1.126,1.1337781728728227,0.48863856718911497,1.1257403736049088,0.3620248685594397,1.2209601906108563,[0.27555198 0.04209523 0.04416988 0.02206678 0.13931115],0.105 ± 0.095,0.10463900553819319,0.04416988279333231,0.0946570794486708,0.04209523204023366,0.13931114594833566,[90.41108    1.8220333 31.967432  13.044439  73.71893  ],42.193 ± 34.360,42.192783,31.967432,34.35952,13.044439315795898,73.71893310546875,[0.3156093  0.30469406 0.3330618  0.31515032 0.3214083 ],0.318 ± 0.009,0.31798476,0.3156093,0.009266691,0.31515032052993774,0.32140830159187317
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.38508772 0.22596491 0.44280702 0.26105263 0.24614035],0.312 ± 0.086,0.3122105263157895,0.26105263157894737,0.08577555944995943,0.246140350877193,0.3850877192982456,[0.48126073 0.34586306 0.54899942 0.38126311 0.37431934],0.426 ± 0.077,0.4263411319653275,0.38126311298837673,0.07651958374736335,0.3743193364260426,0.4812607288468549,[0.03589234 0.02539582 0.07206138 0.03326322 0.07051407],0.047 ± 0.020,0.047425364971769045,0.03589233585031301,0.019793431528063902,0.03326322239628459,0.07051406998695034,[34.499516 12.046212 39.4474   17.43214  14.276026],23.540 ± 11.211,23.540257,17.43214,11.210627,14.276025772094727,34.499515533447266,[0.31560907 0.30469415 0.33306178 0.3151506  0.32140812],0.318 ± 0.009,0.31798476,0.31560907,0.009266638,0.31515058875083923,0.32140812277793884
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.30719298 0.29070175 0.37859649 0.31438596 0.30719298],0.320 ± 0.030,0.3196140350877193,0.30719298245614035,0.030498353799632106,0.30719298245614035,0.3143859649122807,[0.44713614 0.41692071 0.51086434 0.45535152 0.42664933],0.451 ± 0.033,0.45138440640371513,0.4471361388064066,0.0327756599455733,0.42664932564250657,0.4553515206779995,[0.09261992 0.04948536 0.07029857 0.03070745 0.02734823],0.054 ± 0.025,0.0540919054640665,0.04948535752969905,0.024618453402830278,0.03070744689657858,0.07029856839676335,[13.043469   6.624128  23.795197  14.6123295  8.753363 ],13.366 ± 5.952,13.365697,13.043469,5.95239,8.753362655639648,14.612329483032227,[0.38920078 0.38968927 0.38968882 0.389201   0.38968903],0.389 ± 0.000,0.38949376,0.38968882,0.0002391472,0.38920098543167114,0.38968902826309204
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.41017544 0.41052632 0.41052632 0.41017544 0.41052632],0.410 ± 0.000,0.4103859649122807,0.4105263157894737,0.00017189401703740568,0.41017543859649125,0.4105263157894737,[0.98978406 0.99113702 0.99113702 0.98978406 0.99113702],0.991 ± 0.001,0.990595834139592,0.9911370187883608,0.0006628131230556093,0.9897840571664385,0.9911370187883608,[0.12465237 0.1247248  0.1247248  0.12465237 0.1247248 ],0.125 ± 0.000,0.12469582675813391,0.1247247960286399,3.547996548017458e-05,0.1246523728523749,0.1247247960286399,[60.717274 60.721542 60.721542 60.717274 60.721542],60.720 ± 0.002,60.719837,60.721542,0.0020912022,60.7172737121582,60.72154235839844,[0.38920078 0.38968897 0.38968897 0.38920078 0.38968897],0.389 ± 0.000,0.3894937,0.38968897,0.00023916419,0.38920077681541443,0.38968896865844727
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,[0.28877193 0.28807018 0.38964912 0.30701754 0.30052632],0.315 ± 0.038,0.31480701754385965,0.3005263157894737,0.03810154742634391,0.2887719298245614,0.30701754385964913,[0.4189325  0.41671953 0.50964792 0.44306919 0.43064501],0.444 ± 0.034,0.4438028315125616,0.43064501224127355,0.03423822700478842,0.4189325010747759,0.44306919451860355,[0.07668528 0.05930732 0.04991742 0.02451696 0.06641833],0.055 ± 0.018,0.05536906325457469,0.05930732090706311,0.017740066489205928,0.04991741915802825,0.06641833287577238,[ 7.189315  6.579019 23.613274 12.245262  9.59997 ],11.845 ± 6.214,11.845367,9.59997,6.2144766,7.189314842224121,12.245262145996094,[0.38920078 0.3896892  0.38968888 0.38920072 0.3896889 ],0.389 ± 0.000,0.3894937,0.38968888,0.00023919341,0.38920077681541443,0.3896889090538025
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,[0.41017544 0.41052632 0.41052632 0.41017544 0.41052632],0.410 ± 0.000,0.4103859649122807,0.4105263157894737,0.00017189401703740568,0.41017543859649125,0.4105263157894737,[0.7544992  0.77570208 0.75478786 0.79957098 0.75634173],0.768 ± 0.018,0.7681803696507866,0.7563417271804105,0.01759905598492156,0.7547878599549082,0.7757020825280545,[0.17264713 0.22444787 0.17182286 0.04565444 0.18020355],0.159 ± 0.060,0.158955170823111,0.1726471269448158,0.059884705106815095,0.17182285789355778,0.18020355488014386,[48.467247 49.81279  48.42217  51.37214  48.528114],49.320 ± 1.150,49.320488,48.528114,1.1501727,48.467247009277344,49.81278991699219,[0.3892009  0.38968894 0.38968897 0.3892007  0.38968912],0.389 ± 0.000,0.38949373,0.38968894,0.00023917636,0.389200896024704,0.38968896865844727
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.01556663 0.0138543  0.01743462 0.01400996 0.0138543 ],0.015 ± 0.001,0.0149439601494396,0.014009962640099627,0.0014027248226735755,0.013854296388542964,0.015566625155666251,[0.02069457 0.02059888 0.02432584 0.01858505 0.02122058],0.021 ± 0.002,0.021084982999519466,0.020694565763980224,0.001852563273705405,0.02059887871499455,0.021220581117742412,[0.0040672  0.00311865 0.00282445 0.00213718 0.00478155],0.003 ± 0.001,0.0033858067752009003,0.003118652995959354,0.0009335885012962194,0.0028244487686784536,0.004067200516463811,[ 9.448734   8.460988  23.413153   0.8053101  9.258537 ],10.277 ± 7.312,10.277345,9.258537,7.3115335,8.46098804473877,9.448734283447266,[0.01954078 0.01959284 0.01929775 0.01755007 0.01997472],0.019 ± 0.001,0.019191232,0.019540781,0.0008487725,0.019297750666737556,0.01959284022450447
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.01603362 0.02334994 0.01836862 0.01556663 0.0263076 ],0.020 ± 0.004,0.019925280199252805,0.018368617683686177,0.0042196753762340925,0.01603362391033624,0.023349937733499377,[0.02158386 0.0335975  0.02482479 0.02039432 0.03486072],0.027 ± 0.006,0.02705223897162291,0.024824794501055816,0.006049881676331694,0.021583864291800405,0.03359750146291856,[0.00308739 0.00399068 0.00259332 0.00161047 0.0084026 ],0.004 ± 0.002,0.0039368899095373056,0.003087388363470929,0.002361547831236921,0.0025933178861687247,0.003990675301456823,[13.179672 43.876747 24.9525   17.420883 44.76341 ],28.839 ± 13.194,28.838642,24.9525,13.19404,17.420883178710938,43.876747131347656,[0.01954091 0.01959256 0.01929787 0.01755045 0.01997462],0.019 ± 0.001,0.01919128,0.019540908,0.00084859686,0.019297868013381958,0.019592560827732086
